Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
R&D Contestant 2,"3DEGREES, LLC",1400 E Angela Blvd,South Bend,IN,46617-1364,http://www.3degreescompany.com,2.0,Q43UC7ZWQA55,https://legacy.www.sbir.gov/sbirsearch/detail/2151223
R&D Contestant 2,"3Derm Systems, Inc.",101 Huntington Ave Ste 1300 Fl 17,Boston,MA,02199-7611,https://www.3derm.com,7.0,,https://legacy.www.sbir.gov/sbirsearch/detail/398906
R&D Contestant 2,3dh Corporation,5555 Oakbrook Parkway,Norcross,GA,30093,,20.0,,https://legacy.www.sbir.gov/sbirsearch/detail/72392
R&D Contestant 2,3DI (FORMERLY EARTH INFO SYS. CORP),"201 S College Ave., Suite 300",Ft. Collins,CO,80524,,,,https://legacy.www.sbir.gov/sbirsearch/detail/72593
R&D Contestant 2,3DP Security Inc,20 Jay St Ste 312,Brooklyn,NY,11201-8322,http://3dpsecurity.com,2.0,,https://legacy.www.sbir.gov/sbirsearch/detail/1199693
R&D Contestant 2,"3E TECHNOLOGIES INTERNATIONAL, INC.",9715 Key West Avenue,Rockville,MD,20850,,411.0,XDBPX4PNJE57,https://legacy.www.sbir.gov/sbirsearch/detail/73766
R&D Contestant 2,"3FATES-XRAY, INC.",616 Bristol Ter,Sunnyvale,CA,94087,,2.0,J4RUZLFMKS53,https://legacy.www.sbir.gov/sbirsearch/detail/2269315
R&D Contestant 2,3Gear Systems,1110 Polynesia Dr #314,Foster City,CA,94404-1745,,1.0,,https://legacy.www.sbir.gov/sbirsearch/detail/392057
R&D Contestant 2,"3PrimeDx, Inc",191 Wacker Drive,Chicago,IL,60606-1615,,6.0,,https://legacy.www.sbir.gov/sbirsearch/detail/391212
PZA innovation LLC,PZA INNOVATION LLC,403 Far Hills Ct,Towson,MD,21286-7319,https://pzainnovation.com,2.0,FNB4LENH6JW7,https://legacy.www.sbir.gov/sbirsearch/detail/1830261
SpringGem Weather Information,"SpringGem Weather Information, LLC",10804 Tuckahoe Way,North Potomac,MD,20878-4295,http://www.sg-weather.com,4.0,FFFNG83J2BB8,https://legacy.www.sbir.gov/sbirsearch/detail/1497055
"Drakeford, Scott, & Associates LLC","Drakeford, Scott, & Associates, LLC",15340 Palmer Rd,Marston,NC,28363-8310,http://www.drakefordassociates.org,5.0,V8YFMSSK77N8,https://legacy.www.sbir.gov/sbirsearch/detail/1405873
SAM,Af Sammer Corp.,8 Industrial Parkway,Ringwood,NJ,07456,,6.0,,https://legacy.www.sbir.gov/sbirsearch/detail/80891
SAM,Deborah Samson,2019 Marra Drive,Ann Arbor,MI,48103,,,,https://legacy.www.sbir.gov/sbirsearch/detail/2444863
