Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",08/19/2019,02/18/2020,"$124,935.00",Phase I,SBIR,SBIR_19_P1,https://legacy.www.sbir.gov/sbirsearch/detail/1670993
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",06/09/2017,12/08/2017,"$124,922.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1425609
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",06/10/2016,12/10/2016,"$124,986.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1217495
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",07/21/2016,03/30/2020,"$1,449,832.00",Phase II,SBIR,07.3,https://legacy.www.sbir.gov/sbirsearch/detail/1265151
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",06/17/2015,12/17/2015,"$124,881.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/887941
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",06/20/2014,12/19/2014,"$124,720.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/702331
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",02/13/2012,08/13/2012,"$124,963.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/388456
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",06/01/2011,11/30/2013,"$599,860.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/369369
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",04/15/2010,01/14/2011,"$99,997.00",Phase I,STTR,2009.B,https://legacy.www.sbir.gov/sbirsearch/detail/1663
"ANALYTICAL MECHANICS ASSOCIATES, INC.","ANALYTICAL MECHANICS ASSOCIATES, INC.",01/29/2010,07/29/2010,"$99,679.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1665
Applied & Theoretical Mechanic,Applied & Theoretical Mechanic,N/A,N/A,"$49,997.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/92122
Applied & Theoretical Mechanic,Applied & Theoretical Mechanic,N/A,N/A,"$49,997.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/92120
Applied & Theoretical Mechanic,Applied & Theoretical Mechanic,N/A,N/A,"$48,758.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/92118
Applied Mechanics Inc,Applied Mechanics Inc,N/A,N/A,"$49,593.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/92887
Applied Mechanics Inc,Applied Mechanics Inc,N/A,N/A,"$49,889.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/92889
Babcock Electro-mechanical,Babcock Electro-mechanical,N/A,N/A,"$74,500.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/103347
Biomechanics Institute,Biomechanics Institute,N/A,N/A,"$92,780.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/108543
Biomechanics Institute,Biomechanics Institute,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/108541
"Bomec, Inc.","Bomec, Inc.",N/A,N/A,"$99,420.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/112675
CALMEC,CALMEC,N/A,N/A,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/116259
Christian Mechs Inc,Christian Mechs Inc,N/A,N/A,"$50,133.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125494
"Composites & Mechanics, Inc.","Composites & Mechanics, Inc.",N/A,N/A,"$724,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130765
"Composites & Mechanics, Inc.","Composites & Mechanics, Inc.",N/A,N/A,"$97,500.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130767
Computational Mechan,Computational Mechan,N/A,N/A,"$300,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131076
Computational Mechan,Computational Mechan,N/A,N/A,"$200,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131052
Computational Mechan,Computational Mechan,N/A,N/A,"$75,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131072
Computational Mechan,Computational Mechan,N/A,N/A,"$70,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131080
Computational Mechan,Computational Mechan,N/A,N/A,"$65,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131084
Computational Mechan,Computational Mechan,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131050
Computational Mechan,Computational Mechan,N/A,N/A,"$525,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131058
Computational Mechan,Computational Mechan,N/A,N/A,"$49,946.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131062
Computational Mechan,Computational Mechan,N/A,N/A,"$500,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131042
Computational Mechan,Computational Mechan,N/A,N/A,"$529,291.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/131044
Computational Mechanics International Inc,Computational Mechanics International Inc,08/16/2011,N/A,"$78,628.00",Phase I,SBIR,2011.1,https://legacy.www.sbir.gov/sbirsearch/detail/382641
"Cryomech, Inc.","Cryomech, Inc.",06/27/2022,03/26/2023,"$190,046.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2277357
"Cryomech, Inc.","Cryomech, Inc.",06/22/2009,12/30/2009,"$69,369.00",Phase I,SBIR,2009.1,https://legacy.www.sbir.gov/sbirsearch/detail/192380
"CRYOMECHANICS, LLC","CRYOMECHANICS, LLC",N/A,N/A,"$150,000.00",Phase I,SBIR,PHS2009-2,https://legacy.www.sbir.gov/sbirsearch/detail/192384
"E. M. Optomechanical, Inc.","E. M. Optomechanical, Inc.",N/A,N/A,"$89,444.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/155915
"E. M. Optomechanical, Inc.","E. M. Optomechanical, Inc.",N/A,N/A,"$99,601.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/150522
ELECTRO MECHANICAL ASSOCIATES INC,ELECTRO MECHANICAL ASSOCIATES INC,06/24/2015,12/23/2016,"$735,708.00",Phase II,SBIR,2013.3,https://legacy.www.sbir.gov/sbirsearch/detail/986525
ELECTRO MECHANICAL ASSOCIATES INC,ELECTRO MECHANICAL ASSOCIATES INC,01/15/2014,11/14/2014,"$79,776.00",Phase I,SBIR,2013.3,https://legacy.www.sbir.gov/sbirsearch/detail/685244
ELECTRO MECHANICAL ASSOCIATES INC,ELECTRO MECHANICAL ASSOCIATES INC,11/15/2012,N/A,"$150,000.00",Phase I,SBIR,DE-FOA-0000715,https://legacy.www.sbir.gov/sbirsearch/detail/408776
ELECTRO MECHANICAL ASSOCIATES INC,ELECTRO MECHANICAL ASSOCIATES INC,05/15/2013,11/13/2013,"$79,996.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/409653
ELECTRO MECHANICAL ASSOCIATES INC,ELECTRO MECHANICAL ASSOCIATES INC,08/09/2010,02/09/2011,"$69,384.00",Phase I,SBIR,2009.3,https://legacy.www.sbir.gov/sbirsearch/detail/14967
EMEC Consultants,EMEC Consultants,N/A,N/A,"$69,970.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156368
EMEC Consultants,EMEC Consultants,N/A,N/A,"$64,820.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156366
EMEC Consultants,EMEC Consultants,N/A,N/A,"$65,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156376
EMEC Consultants,EMEC Consultants,N/A,N/A,"$497,610.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156362
EMEC Consultants,EMEC Consultants,N/A,N/A,"$75,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156364
EMEC Consultants,EMEC Consultants,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156370
EMEC Consultants,EMEC Consultants,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156382
EMEC Consultants,EMEC Consultants,N/A,N/A,"$488,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156358
EMEC Consultants,EMEC Consultants,N/A,N/A,"$150,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156360
EMEC Consultants,EMEC Consultants,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/156380
Engineering Mechanics Assocs I,Engineering Mechanics Assocs I,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158662
Engineering Mechanics Assocs I,Engineering Mechanics Assocs I,N/A,N/A,"$494,478.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158660
Engineering Mechanics Assocs I,Engineering Mechanics Assocs I,N/A,N/A,"$49,896.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158664
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,01/29/2015,10/29/2015,"$150,000.00",Phase I,SBIR,DTRT5714RSBIR2,https://legacy.www.sbir.gov/sbirsearch/detail/822575
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,04/08/2014,04/07/2016,"$1,000,000.00",Phase II,SBIR,DE-FOA-0001019,https://legacy.www.sbir.gov/sbirsearch/detail/686985
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,02/19/2013,N/A,"$150,000.00",Phase I,SBIR,DE-FOA-0000760,https://legacy.www.sbir.gov/sbirsearch/detail/407573
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,06/26/2009,12/14/2012,"$750,000.00",Phase II,SBIR,DTRT5707RSBIR,https://legacy.www.sbir.gov/sbirsearch/detail/362178
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,12/04/2007,07/15/2008,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158688
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,01/11/2005,07/11/2005,"$69,997.00",Phase I,SBIR,2004.3,https://legacy.www.sbir.gov/sbirsearch/detail/158686
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,N/A,N/A,"$70,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158684
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,N/A,N/A,$0.00,Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158680
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,N/A,N/A,"$478,535.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158682
Engineering Mechanics Corporation of Columbus,Engineering Mechanics Corporation of Columbus,N/A,N/A,"$70,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/158674
Flight Mechanics & Control Inc,Flight Mechanics & Control Inc,N/A,N/A,"$720,817.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/167347
Flight Mechanics & Control Inc,Flight Mechanics & Control Inc,N/A,N/A,"$49,577.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/167349
"Genomechanix, LLC","Genomechanix, LLC",N/A,N/A,"$100,000.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/174310
"Genomechanix, LLC","Genomechanix, LLC",N/A,N/A,"$100,000.00",Phase I,SBIR,PHS2005-2,https://legacy.www.sbir.gov/sbirsearch/detail/1068141
"Genomechanix, LLC","Genomechanix, LLC",N/A,N/A,"$99,762.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/174307
Geomechanics International,Geomechanics International,N/A,N/A,"$750,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/174917
Geomechanics International,Geomechanics International,N/A,N/A,"$72,691.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/174915
GeoMechanics Technologies,GeoMechanics Technologies,04/09/2018,01/08/2019,"$149,829.00",Phase I,SBIR,DE-FOA-0001770,https://legacy.www.sbir.gov/sbirsearch/detail/1505135
GeoMechanics Technologies,GeoMechanics Technologies,07/02/2018,04/01/2019,"$154,700.00",Phase I,SBIR,DE-FOA-0001771,https://legacy.www.sbir.gov/sbirsearch/detail/1523795
GeoMechanics Technologies,GeoMechanics Technologies,02/21/2017,11/20/2017,"$154,968.00",Phase I,SBIR,DE-FOA-0001618,https://legacy.www.sbir.gov/sbirsearch/detail/1307679
GeoMechanics Technologies,GeoMechanics Technologies,06/12/2017,03/11/2018,"$224,374.00",Phase I,SBIR,DE-FOA-0001619,https://legacy.www.sbir.gov/sbirsearch/detail/1318185
GeoMechanics Technologies,GeoMechanics Technologies,06/12/2017,03/11/2018,"$149,619.00",Phase I,STTR,DE-FOA-0001619,https://legacy.www.sbir.gov/sbirsearch/detail/1319815
GeoMechanics Technologies,GeoMechanics Technologies,07/31/2017,07/30/2019,"$990,508.48",Phase II,SBIR,DE-FOA-0001646,https://legacy.www.sbir.gov/sbirsearch/detail/1332821
GeoMechanics Technologies,GeoMechanics Technologies,06/13/2016,03/12/2017,"$149,973.00",Phase I,SBIR,DE-FOA-0001417,https://legacy.www.sbir.gov/sbirsearch/detail/1206877
GeoMechanics Technologies,GeoMechanics Technologies,06/13/2016,03/12/2017,"$149,973.00",Phase I,SBIR,DE-FOA-0001417,https://legacy.www.sbir.gov/sbirsearch/detail/1206883
GIGANTIC MECHANIC LLC,GIGANTIC MECHANIC LLC,06/26/2019,06/25/2021,"$897,103.00",Phase II,SBIR,91990019R0012,https://legacy.www.sbir.gov/sbirsearch/detail/1663129
GIGANTIC MECHANIC LLC,GIGANTIC MECHANIC LLC,05/10/2018,01/09/2019,"$196,621.00",Phase I,SBIR,91990018R0006,https://legacy.www.sbir.gov/sbirsearch/detail/1554357
Gravi-mechanics Company,Gravi-mechanics Company,N/A,N/A,"$49,982.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/177628
Gravi-mechanics Company,Gravi-mechanics Company,N/A,N/A,"$232,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/177626
Gravi-mechanics Company,Gravi-mechanics Company,N/A,N/A,"$40,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/177630
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,09/19/2016,08/31/2018,"$281,165.00",Phase I,SBIR,PA15-269,https://legacy.www.sbir.gov/sbirsearch/detail/1196771
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,N/A,N/A,"$298,934.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1243179
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,N/A,N/A,"$840,603.00",Phase II,SBIR,PHS2010-2,https://legacy.www.sbir.gov/sbirsearch/detail/5103
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,N/A,N/A,"$146,989.00",Phase I,SBIR,PHS2007-2,https://legacy.www.sbir.gov/sbirsearch/detail/183000
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,N/A,N/A,"$179,980.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/182996
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,N/A,N/A,"$126,249.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/182998
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,N/A,N/A,"$554,615.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/182994
HOUSTON PHARMECUTICAL INC,HOUSTON PHARMECUTICAL INC,N/A,N/A,"$554,615.00",Phase I,SBIR,PHS2004-2,https://legacy.www.sbir.gov/sbirsearch/detail/1066923
Hydramech Technologies,Hydramech Technologies,N/A,N/A,"$49,969.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/183839
"INNOVATIVE MECHANICS, INC.","INNOVATIVE MECHANICS, INC.",N/A,N/A,"$69,337.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/195128
"INNOVATIVE MECHANICS, INC.","INNOVATIVE MECHANICS, INC.",N/A,N/A,"$65,727.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/195126
"INNOVATIVE MECHANICS, INC.","INNOVATIVE MECHANICS, INC.",N/A,N/A,"$45,540.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/195124
Instrumech,Instrumech,N/A,N/A,"$49,888.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/196850
Ithaca Mechanical Systems Corp.,Ithaca Mechanical Systems Corp.,N/A,N/A,"$70,000.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/204560
"M-MECH DEFENSE, INC.","M-MECH DEFENSE, INC.",10/30/2019,07/30/2021,"$1,099,934.38",Phase II,SBIR,18.2,https://legacy.www.sbir.gov/sbirsearch/detail/1932201
"M-MECH DEFENSE, INC.","M-MECH DEFENSE, INC.",10/12/2018,03/15/2020,"$149,988.28",Phase I,SBIR,18.2,https://legacy.www.sbir.gov/sbirsearch/detail/1866081
"M-MECH DEFENSE, INC.","M-MECH DEFENSE, INC.",06/29/2011,N/A,"$729,796.00",Phase II,SBIR,2009.2,https://legacy.www.sbir.gov/sbirsearch/detail/384545
"M-MECH DEFENSE, INC.","M-MECH DEFENSE, INC.",11/20/2009,05/20/2010,"$119,793.00",Phase I,SBIR,2009.2,https://legacy.www.sbir.gov/sbirsearch/detail/194076
MECHANICAL & COMPOSITE ENGINEERING,MECHANICAL & COMPOSITE ENGINEERING,N/A,N/A,"$397,218.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/227982
MECHANICAL & COMPOSITE ENGINEERING,MECHANICAL & COMPOSITE ENGINEERING,N/A,N/A,"$98,220.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/227984
Mechanical Dynamics Inc.,Mechanical Dynamics Inc.,N/A,N/A,"$65,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228000
Mechanical Dynamics Inc.,Mechanical Dynamics Inc.,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/227998
Mechanical Dynamics Inc.,Mechanical Dynamics Inc.,N/A,N/A,"$500,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/227996
Mechanical Dynamics Inc.,Mechanical Dynamics Inc.,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228002
Mechanical Eng. Services,Mechanical Eng. Services,N/A,N/A,"$47,065.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228006
Mechanical Integrity Inc.,Mechanical Integrity Inc.,N/A,N/A,"$149,545.00",Phase I,STTR,NSF 07-551,https://legacy.www.sbir.gov/sbirsearch/detail/228011
"Mechanical Seal Technology,","Mechanical Seal Technology,",N/A,N/A,"$49,750.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228017
"Mechanical Seal Technology,","Mechanical Seal Technology,",N/A,N/A,"$225,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228015
"Mechanical Seal Technology,","Mechanical Seal Technology,",N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228019
MECHANICAL SIMULATION INTERNATIONAL,MECHANICAL SIMULATION INTERNATIONAL,N/A,N/A,"$749,917.00",Phase II,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/7183
MECHANICAL SIMULATION INTERNATIONAL,MECHANICAL SIMULATION INTERNATIONAL,03/31/2010,09/30/2010,"$68,546.00",Phase I,SBIR,2009.3,https://legacy.www.sbir.gov/sbirsearch/detail/7185
MECHANICAL SIMULATION INTERNATIONAL,MECHANICAL SIMULATION INTERNATIONAL,03/30/2010,03/31/2011,"$749,917.00",Phase II,STTR,2008.A,https://legacy.www.sbir.gov/sbirsearch/detail/379169
MECHANICAL SIMULATION INTERNATIONAL,MECHANICAL SIMULATION INTERNATIONAL,09/27/2008,09/30/2009,"$99,865.00",Phase I,STTR,2008.A,https://legacy.www.sbir.gov/sbirsearch/detail/228024
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,09/01/2023,05/31/2025,"$1,249,744.00",Phase II,SBIR,X23.6,https://legacy.www.sbir.gov/sbirsearch/detail/2562051
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,03/07/2022,06/07/2023,"$749,982.00",Phase II,SBIR,X21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2322473
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,05/14/2021,08/16/2021,"$49,988.00",Phase I,SBIR,X21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2172397
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,05/18/2021,08/20/2021,"$49,971.00",Phase I,SBIR,X21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2172403
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,02/11/2021,05/29/2023,"$1,259,872.00",Phase II,SBIR,14.1,https://legacy.www.sbir.gov/sbirsearch/detail/2179535
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,02/11/2021,05/30/2024,"$2,059,867.00",Phase II,SBIR,14.1,https://legacy.www.sbir.gov/sbirsearch/detail/2579191
